Fold,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAcc,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,BSS_alt,AUC
1,148.0,378.0,140.0,39.0,187.0,518.0,0.7914438502673797,0.7297297297297297,0.2702702702702703,0.20855614973262032,0.7460992907801418,0.7605867899985548,0.5138888888888888,0.7914438502673797,0.6231578947368421,0.2539007092198582,0.5211735799971094,0.4444737919467519,0.17294943985786873,0.11258650769767298,0.887413492302327,0.8447236388412859
2,143.0,378.0,140.0,44.0,187.0,518.0,0.7647058823529411,0.7297297297297297,0.2702702702702703,0.23529411764705882,0.7390070921985815,0.7472178060413355,0.5053003533568905,0.7647058823529411,0.6085106382978723,0.2609929078014185,0.49443561208267084,0.4247654185217376,0.17336477480838974,0.11045540025251466,0.8895445997474853,0.8310243016125369
3,158.0,349.0,169.0,29.0,187.0,518.0,0.8449197860962567,0.6737451737451737,0.32625482625482627,0.15508021390374332,0.7191489361702128,0.7593324799207153,0.4831804281345566,0.8449197860962567,0.6147859922178989,0.2808510638297872,0.5186649598414305,0.41854943516944915,0.18863746094619827,0.03209037199033504,0.967909628009665,0.8338529515000104
4,127.0,408.0,110.0,59.0,186.0,518.0,0.6827956989247311,0.7876447876447876,0.21235521235521235,0.3172043010752688,0.7599431818181818,0.7352202432847594,0.5358649789029536,0.6827956989247311,0.6004728132387707,0.24005681818181823,0.47044048656951876,0.4324422309996756,0.16609695486300916,0.14559400940979428,0.8544059905902057,0.8114750695395857
5,147.0,385.0,132.0,40.0,187.0,517.0,0.786096256684492,0.7446808510638298,0.2553191489361702,0.21390374331550802,0.7556818181818182,0.7653885538741609,0.5268817204301075,0.786096256684492,0.630901287553648,0.24431818181818177,0.5307771077483219,0.4587471727800177,0.15982039554560135,0.18069544411166072,0.8193045558883393,0.8569596292886769
6,148.0,374.0,143.0,39.0,187.0,517.0,0.7914438502673797,0.723404255319149,0.2765957446808511,0.20855614973262032,0.7414772727272727,0.7574240527932643,0.5085910652920962,0.7914438502673797,0.6192468619246861,0.2585227272727273,0.5148481055865286,0.4372403130737269,0.17283214440597747,0.11399191052955726,0.8860080894704427,0.8317007830035478
7,123.0,359.0,158.0,64.0,187.0,517.0,0.6577540106951871,0.6943907156673114,0.3056092843326886,0.3422459893048128,0.6846590909090909,0.6760723631812493,0.4377224199288256,0.6577540106951871,0.5256410256410255,0.31534090909090906,0.35214472636249855,0.3034611236395725,0.19750208692213372,-0.012476280391814365,1.0124762803918144,0.7678192782300188
8,130.0,407.0,110.0,57.0,187.0,517.0,0.6951871657754011,0.7872340425531915,0.2127659574468085,0.3048128342245989,0.7627840909090909,0.7412106041642963,0.5416666666666666,0.6951871657754011,0.6088992974238876,0.23721590909090906,0.4824212083285926,0.44240400667779634,0.1569178385924417,0.1955751353258558,0.8044248646741442,0.8272427310998252
9,133.0,393.0,124.0,54.0,187.0,517.0,0.7112299465240641,0.7601547388781431,0.23984526112185686,0.2887700534759358,0.7471590909090909,0.7356923427011036,0.5175097276264592,0.7112299465240641,0.5990990990990991,0.25284090909090906,0.47138468540220724,0.42107937798556766,0.16794503481526812,0.1390452282811787,0.8609547717188213,0.8243362053806927
10,128.0,406.0,111.0,59.0,187.0,517.0,0.6844919786096256,0.7852998065764023,0.21470019342359767,0.3155080213903743,0.7585227272727273,0.734895892593014,0.5355648535564853,0.6844919786096256,0.6009389671361501,0.2414772727272727,0.46979178518602793,0.431497544152994,0.16075148411238768,0.1759223042248561,0.8240776957751439,0.8250499074256044
Average,138.5,383.7,133.7,48.4,186.9,517.4,0.7410068426197458,0.7416013830907447,0.25839861690925525,0.2589931573802541,0.7414482591876209,0.7413041128552453,0.510617110278393,0.7410068426197458,0.603165387726988,0.2585517408123791,0.48260822571049067,0.42146604149472894,0.1716817614869276,0.11934800314316112,0.8806519968568388,0.8254184495921784
