Fold,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAcc,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,BSS_alt,AUC
1,116.0,446.0,72.0,71.0,187.0,518.0,0.6203208556149733,0.861003861003861,0.138996138996139,0.37967914438502676,0.7971631205673759,0.7406623583094172,0.6170212765957447,0.6203208556149733,0.6186666666666667,0.20283687943262407,0.4813247166188343,0.48050375393557765,0.13825117819397495,0.29062527778724834,0.7093747222127517,0.8400367518014578
2,117.0,450.0,68.0,70.0,187.0,518.0,0.6256684491978609,0.8687258687258688,0.13127413127413126,0.37433155080213903,0.8042553191489362,0.7471971589618649,0.6324324324324324,0.6256684491978609,0.629032258064516,0.19574468085106378,0.4943943179237297,0.4960895012171751,0.13871930756518067,0.28822327914248624,0.7117767208575138,0.8450023744141392
3,129.0,435.0,83.0,58.0,187.0,518.0,0.6898395721925134,0.8397683397683398,0.16023166023166024,0.31016042780748665,0.8,0.7648039559804265,0.6084905660377359,0.6898395721925134,0.6466165413533834,0.19999999999999996,0.5296079119608531,0.5079130921205701,0.13672506338606957,0.29845586036936345,0.7015441396306366,0.8403774286127228
4,110.0,442.0,76.0,76.0,186.0,518.0,0.5913978494623656,0.8532818532818532,0.14671814671814673,0.40860215053763443,0.7840909090909091,0.7223398513721094,0.5913978494623656,0.5913978494623656,0.5913978494623656,0.21590909090909094,0.44467970274421886,0.44467970274421886,0.14505926613273792,0.2538122924851265,0.7461877075148735,0.813249885830531
5,119.0,443.0,74.0,68.0,187.0,517.0,0.6363636363636364,0.8568665377176016,0.14313346228239845,0.36363636363636365,0.7982954545454546,0.746615087040619,0.616580310880829,0.6363636363636364,0.6263157894736843,0.20170454545454541,0.4932301740812379,0.4882306566054736,0.13819092038820288,0.29157695881091494,0.7084230411890851,0.8443612366698042
6,119.0,446.0,71.0,68.0,187.0,517.0,0.6363636363636364,0.8626692456479691,0.13733075435203096,0.36363636363636365,0.8025568181818182,0.7495164410058027,0.6263157894736842,0.6363636363636364,0.6312997347480106,0.19744318181818177,0.4990328820116054,0.49649083088068824,0.1385007257794211,0.28998876997182876,0.7100112300281712,0.8392567155225023
7,104.0,425.0,92.0,83.0,187.0,517.0,0.5561497326203209,0.8220502901353965,0.17794970986460348,0.44385026737967914,0.7514204545454546,0.6891000113778587,0.5306122448979592,0.5561497326203209,0.5430809399477806,0.24857954545454541,0.3782000227557174,0.3724787090990587,0.16114491592423583,0.1739054122332041,0.8260945877667959,0.7763371569834193
8,109.0,456.0,61.0,78.0,187.0,517.0,0.5828877005347594,0.8820116054158608,0.11798839458413926,0.41711229946524064,0.8025568181818182,0.7324496529753101,0.6411764705882353,0.5828877005347594,0.6106442577030813,0.19744318181818177,0.4648993059506201,0.47879071947504104,0.14087434361255705,0.2778206364993321,0.7221793635006679,0.8276357843999216
9,117.0,431.0,86.0,70.0,187.0,517.0,0.6256684491978609,0.8336557059961315,0.16634429400386846,0.37433155080213903,0.7784090909090909,0.7296620775969962,0.5763546798029556,0.6256684491978609,0.6,0.22159090909090906,0.45932415519399244,0.4471148521430945,0.1466498687019323,0.2482129384191305,0.7517870615808695,0.810889645114244
10,110.0,442.0,75.0,77.0,187.0,517.0,0.5882352941176471,0.8549323017408124,0.1450676982591876,0.4117647058823529,0.7840909090909091,0.7215837979292297,0.5945945945945946,0.5882352941176471,0.5913978494623656,0.21590909090909094,0.44316759585845944,0.44468546637744033,0.146149579628071,0.25077762433469475,0.7492223756653053,0.8225984960539517
Average,115.0,441.6,75.8,71.9,186.9,517.4,0.6152895175665575,0.8534965609433695,0.14650343905663055,0.3847104824334426,0.7902838894261767,0.7343930392549634,0.6034976214766536,0.6152895175665575,0.6088451886881854,0.2097161105738233,0.4687860785099269,0.4656977284598338,0.14302651693123833,0.266339905005333,0.733660094994667,0.8259745475402693
